sampleID	tMAD_vs_control	ref_genome	settings
LP0020_01	0.00404671135085165	0memhg19	False40
LP0020_02	0.0108621010443093	0memhg19	False40
LP0020_03	0.00504023147896482	0memhg19	False40
LP0020_04	0.014422326835213	0memhg19	False40
LP0020_05	0.00615910136962613	0memhg19	False40
LP0020_06	0.00727420134508556	0memhg19	False40
LP0020_07	0.00463312500000001	0memhg19	False40
LP0020_08	0.00978604554682453	0memhg19	False40
LP0025_01_L004	0.00294168983693626	0memhg19	False40
LP0025_02_L004	0.0105155922161853	0memhg19	False40
LP0025_03_L003	0.00264620101044763	0memhg19	False40
LP0025_04_L004	0.00363914987344655	0memhg19	False40
LP0025_07_L004	0.00433763617351135	0memhg19	False40
LP0025_08_L004	0.00195205293084362	0memhg19	False40
LP0029_02_L004	0.00772187500000002	0memhg19	False40
LP0029_04_L003	0.00224251932390642	0memhg19	False40
LP0029_05_L004	0.00294146166664523	0memhg19	False40
LP0029_06_L003	0.00405219729159922	0memhg19	False40
LP0030_03_L004	0.00294191808176775	0memhg19	False40
LP0030_05_L004	0.00334343347212082	0memhg19	False40
LP0025_05_L003	0.00334423141670305	0memhg19	False40
LP0025_06_L003	0.00434128868919936	0memhg19	False40
LP0025_10_L003	0.0289389694316816	0memhg19	False40
LP0025_11_L003	0.00614902569821185	0memhg19	False40
LP0025_12_L003	0.00853209190039177	0memhg19	False40
LP0025_15_L003	0.0415717790776282	0memhg19	False40
LP0025_17_L003	0.0131598650342849	0memhg19	False40
LP0025_21_L004	0.0923376673920608	0memhg19	False40
LP0025_24_L003	0.00404129320645407	0memhg19	False40
LP0026_05_L003	0.0141646499049347	0memhg19	False40
LP0026_07_L003	0.00473789977140612	0memhg19	False40
LP0026_08_L003	0.226729488426209	0memhg19	False40
LP0026_22_L003	0.00746825800029174	0memhg19	False40
LP0026_26_L004	0.0513178322254254	0memhg19	False40
LP0026_38_L004	0.0563894870029237	0memhg19	False40
LP0026_42_L004	0.123392295785316	0memhg19	False40
LP0027_26_L003	0.0611169208027536	0memhg19	False40
LP0027_35_L003	0.0264336733756415	0memhg19	False40
LP0027_39_L003	0.0318209121168247	0memhg19	False40
LP0028_01_L004	0.063319375	0memhg19	False40
LP0020_01	0.00364017613700109	0memhg19	FalseDI26830XA
LP0020_02	0.00923274773981519	0memhg19	FalseDI26830XA
LP0020_03	0.00364223168376402	0memhg19	FalseDI26830XA
LP0020_04	0.013899375	0memhg19	FalseDI26830XA
LP0020_05	0.00962320669932266	0memhg19	FalseDI26830XA
LP0020_06	0.00783383362164485	0memhg19	FalseDI26830XA
LP0020_07	0.00463312500000002	0memhg19	FalseDI26830XA
LP0020_08	0.00726446118827311	0memhg19	FalseDI26830XA
LP0025_01_L004	0.00294123357085799	0memhg19	FalseDI26830XA
LP0025_02_L004	0.0097774512723985	0memhg19	FalseDI26830XA
LP0025_03_L003	0.00404306002811484	0memhg19	FalseDI26830XA
LP0025_04_L004	0.0033410412005481	0memhg19	FalseDI26830XA
LP0025_07_L004	0.00503509680547557	0memhg19	FalseDI26830XA
LP0025_08_L004	0.00294214640117727	0memhg19	FalseDI26830XA
LP0029_02_L004	0.0078256248465298	0memhg19	FalseDI26830XA
LP0029_04_L003	0.00363710035860872	0memhg19	FalseDI26830XA
LP0029_05_L004	0.00224297536658035	0memhg19	FalseDI26830XA
LP0029_06_L003	0.00264825454361372	0memhg19	FalseDI26830XA
LP0030_03_L004	0.0026489395019891	0memhg19	FalseDI26830XA
LP0030_05_L004	0.00224263327874694	0memhg19	FalseDI26830XA
LP0025_05_L003	0.00363983393743837	0memhg19	FalseDI26830XA
LP0025_06_L003	0.0029416898369363	0memhg19	FalseDI26830XA
LP0025_10_L003	0.0334270090684894	0memhg19	FalseDI26830XA
LP0025_11_L003	0.00433991787696852	0memhg19	FalseDI26830XA
LP0025_12_L003	0.00882849572060908	0memhg19	FalseDI26830XA
LP0025_15_L003	0.0431609009366338	0memhg19	FalseDI26830XA
LP0025_17_L003	0.0106410385010482	0memhg19	FalseDI26830XA
LP0025_21_L004	0.0985030018993475	0memhg19	FalseDI26830XA
LP0025_24_L003	0.00334582808771849	0memhg19	FalseDI26830XA
LP0026_05_L003	0.00952173141670301	0memhg19	FalseDI26830XA
LP0026_07_L003	0.00403668167581593	0memhg19	FalseDI26830XA
LP0026_08_L003	0.197939175264893	0memhg19	FalseDI26830XA
LP0026_22_L003	0.00671329977244671	0memhg19	FalseDI26830XA
LP0026_26_L004	0.0515908031232982	0memhg19	FalseDI26830XA
LP0026_38_L004	0.0409398102772868	0memhg19	FalseDI26830XA
LP0026_42_L004	0.122005625	0memhg19	FalseDI26830XA
LP0027_26_L003	0.0546839128883287	0memhg19	FalseDI26830XA
LP0027_35_L003	0.0264186397094162	0memhg19	FalseDI26830XA
LP0027_39_L003	0.0294270178537935	0memhg19	FalseDI26830XA
LP0028_01_L004	0.066408125	0memhg19	FalseDI26830XA
LP0020_01	0.0125806752952375	0memhg19	True40
LP0020_02	0.0112160182435489	0memhg19	True40
LP0020_03	0.0100207456279316	0memhg19	True40
LP0020_04	0.0154102477398152	0memhg19	True40
LP0020_05	0.00992689760752956	0memhg19	True40
LP0020_06	0.00842093200543535	0memhg19	True40
LP0020_07	0.0078503157073615	0memhg19	True40
LP0020_08	0.00990641578324576	0memhg19	True40
LP0025_01_L004	0.0043385484077943	0memhg19	True40
LP0025_02_L004	0.020076875	0memhg19	True40
LP0025_03_L003	0.00404397241162492	0memhg19	True40
LP0025_04_L004	0.00463312500000002	0memhg19	True40
LP0025_07_L004	0.00364086087153317	0memhg19	True40
LP0025_08_L004	0.00364154605364104	0memhg19	True40
LP0029_02_L004	0.00603066808176772	0memhg19	True40
LP0029_04_L003	0.00294123357085799	0memhg19	True40
LP0029_05_L004	0.00364188881267324	0memhg19	True40
LP0029_06_L003	0.00463312500000002	0memhg19	True40
LP0030_03_L004	0.004633125	0memhg19	True40
LP0030_05_L004	0.0026489395019891	0memhg19	True40
LP0025_05_L003	0.00405219729159922	0memhg19	True40
LP0025_06_L003	0.00573563529795306	0memhg19	True40
LP0025_10_L003	0.0328203264062442	0memhg19	True40
LP0025_11_L003	0.00615657997840303	0memhg19	True40
LP0025_12_L003	0.183162253833645	0memhg19	True40
LP0025_15_L003	0.0383944565248516	0memhg19	True40
LP0025_17_L003	0.0147095919003918	0memhg19	True40
LP0025_21_L004	0.0882258486082778	0memhg19	True40
LP0025_24_L003	0.00364017613700113	0memhg19	True40
LP0026_05_L003	0.00952332808771849	0memhg19	True40
LP0026_07_L003	0.0043385484077943	0memhg19	True40
LP0026_08_L003	0.224042442041599	0memhg19	True40
LP0026_22_L003	0.00854559760264086	0memhg19	True40
LP0026_26_L004	0.0562837884824773	0memhg19	True40
LP0026_38_L004	0.0645702671219682	0memhg19	True40
LP0026_42_L004	0.125474269749549	0memhg19	True40
LP0027_26_L003	0.0400112689451189	0memhg19	True40
LP0027_35_L003	0.0387532843012373	0memhg19	True40
LP0027_39_L003	0.0339290053630246	0memhg19	True40
LP0028_01_L004	0.069496875	0memhg19	True40
LP0020_01	0.007425018938381	0memhg19	TrueDI26830XA
LP0020_02	0.00782870062492221	0memhg19	TrueDI26830XA
LP0020_03	0.00294032193202904	0memhg19	TrueDI26830XA
LP0020_04	0.0120028905227357	0memhg19	TrueDI26830XA
LP0020_05	0.00824002898663883	0memhg19	TrueDI26830XA
LP0020_06	0.00882506980897159	0memhg19	TrueDI26830XA
LP0020_07	0.00476363204405138	0memhg19	TrueDI26830XA
LP0020_08	0.00742821123811355	0memhg19	TrueDI26830XA
LP0025_01_L004	0.00265168157501386	0memhg19	TrueDI26830XA
LP0025_02_L004	0.00977458838895205	0memhg19	TrueDI26830XA
LP0025_03_L003	0.00613521460834236	0memhg19	TrueDI26830XA
LP0025_04_L004	0.00294168983693626	0memhg19	TrueDI26830XA
LP0025_07_L004	0.00853095067550047	0memhg19	TrueDI26830XA
LP0025_08_L004	0.00294146166664522	0memhg19	TrueDI26830XA
LP0029_02_L004	0.00754634053514813	0memhg19	TrueDI26830XA
LP0029_04_L003	0.00573631980897156	0memhg19	TrueDI26830XA
