sampleID	FrEIA_score	ref_genome	settings
LP0020_01	1.0863087301119625	0memhg19	False40
LP0020_02	0.7297577229754018	0memhg19	False40
LP0020_03	1.6199967033782303	0memhg19	False40
LP0020_04	1.5995250081645427	0memhg19	False40
LP0020_05	1.0597218170332157	0memhg19	False40
LP0020_06	0.9266296183775586	0memhg19	False40
LP0020_07	1.044816512647585	0memhg19	False40
LP0020_08	0.9274923995187001	0memhg19	False40
LP0025_01_L004	1.3126397674284902	0memhg19	False40
LP0025_02_L004	1.249845131758988	0memhg19	False40
LP0025_03_L003	1.17961027604882	0memhg19	False40
LP0025_04_L004	0.5436754806441207	0memhg19	False40
LP0025_05_L003	0.9198850674142656	0memhg19	False40
LP0025_06_L003	5.134040026263813	0memhg19	False40
LP0025_07_L004	4.1936921387668455	0memhg19	False40
LP0025_08_L004	1.534665137485878	0memhg19	False40
LP0025_10_L003	5.1623580723402105	0memhg19	False40
LP0025_11_L003	4.343585278767983	0memhg19	False40
LP0025_12_L003	4.465882772526769	0memhg19	False40
LP0025_15_L003	19.077724771694093	0memhg19	False40
LP0025_17_L003	8.105276063900327	0memhg19	False40
LP0025_21_L004	4.767631634922604	0memhg19	False40
LP0025_24_L003	14.29394405506149	0memhg19	False40
LP0026_05_L003	3.447814419442023	0memhg19	False40
LP0026_07_L003	3.5876398657164295	0memhg19	False40
LP0026_08_L003	5.905750348705515	0memhg19	False40
LP0026_22_L003	7.109812256608667	0memhg19	False40
LP0026_26_L004	5.893810488364501	0memhg19	False40
LP0026_38_L004	9.801221695795677	0memhg19	False40
LP0026_42_L004	6.2644325896251996	0memhg19	False40
LP0027_26_L003	8.34212364650586	0memhg19	False40
LP0027_35_L003	5.90409820616286	0memhg19	False40
LP0027_39_L003	4.7094002956456436	0memhg19	False40
LP0028_01_L004	13.87146531161039	0memhg19	False40
LP0029_02_L004	2.545813595429684	0memhg19	False40
LP0029_04_L003	13.133742772036465	0memhg19	False40
LP0029_05_L004	9.007856250568759	0memhg19	False40
LP0029_06_L003	10.327395373123444	0memhg19	False40
LP0030_03_L004	7.933924088559199	0memhg19	False40
LP0030_05_L004	6.653725433252596	0memhg19	False40
LP0020_01	1.1130684248322642	0memhg19	FalseDI26830XA
LP0020_02	0.8139327861433668	0memhg19	FalseDI26830XA
LP0020_03	1.6465880382233857	0memhg19	FalseDI26830XA
LP0020_04	1.6346262983002233	0memhg19	FalseDI26830XA
LP0020_05	1.122811765509868	0memhg19	FalseDI26830XA
LP0020_06	0.946345689770477	0memhg19	FalseDI26830XA
LP0020_07	1.0939711323083428	0memhg19	FalseDI26830XA
LP0020_08	0.9591096679324629	0memhg19	FalseDI26830XA
LP0025_01_L004	1.1868786393963155	0memhg19	FalseDI26830XA
LP0025_02_L004	1.4130354461161845	0memhg19	FalseDI26830XA
LP0025_03_L003	1.0186864225697934	0memhg19	FalseDI26830XA
LP0025_04_L004	0.5411412673889328	0memhg19	FalseDI26830XA
LP0025_05_L003	0.8589230162556436	0memhg19	FalseDI26830XA
LP0025_06_L003	4.608492997346534	0memhg19	FalseDI26830XA
LP0025_07_L004	3.8929108142363043	0memhg19	FalseDI26830XA
LP0025_08_L004	1.5678391921167665	0memhg19	FalseDI26830XA
LP0025_10_L003	5.1823834087399	0memhg19	FalseDI26830XA
LP0025_11_L003	3.860474123914775	0memhg19	FalseDI26830XA
LP0025_12_L003	3.938125603413774	0memhg19	FalseDI26830XA
LP0025_15_L003	18.620475692233242	0memhg19	FalseDI26830XA
LP0025_17_L003	6.82296945338751	0memhg19	FalseDI26830XA
