sampleID	FrEIA_score	ref_genome	settings
LP0020_01	1.0866098635652095	0memhg19	False40
LP0020_02	0.7508086844941247	0memhg19	False40
LP0020_03	1.6331827850441825	0memhg19	False40
LP0020_04	1.5994855432566728	0memhg19	False40
LP0020_05	1.0762497964191715	0memhg19	False40
LP0020_06	0.9267224675221485	0memhg19	False40
LP0020_07	1.0349011395570717	0memhg19	False40
LP0020_08	0.9351106269063103	0memhg19	False40
LP0025_01_L004	1.328395896607196	0memhg19	False40
LP0025_02_L004	1.2470069994879331	0memhg19	False40
LP0025_03_L003	1.2114518694559269	0memhg19	False40
LP0025_04_L004	0.5315701345145466	0memhg19	False40
LP0025_05_L003	0.9232628318900079	0memhg19	False40
LP0025_06_L003	5.290407360783902	0memhg19	False40
LP0025_07_L004	4.100203234271443	0memhg19	False40
LP0025_08_L004	1.5175380043019395	0memhg19	False40
LP0025_10_L003	5.139205624658627	0memhg19	False40
LP0025_11_L003	4.40608328839625	0memhg19	False40
LP0025_12_L003	4.294365615912181	0memhg19	False40
LP0025_15_L003	17.365491137289983	0memhg19	False40
LP0025_17_L003	8.076844773431748	0memhg19	False40
LP0025_21_L004	4.938358898088551	0memhg19	False40
LP0025_24_L003	13.752428624569404	0memhg19	False40
LP0026_05_L003	3.4144154555963957	0memhg19	False40
LP0026_07_L003	3.7502351945812267	0memhg19	False40
LP0026_08_L003	5.839100755801462	0memhg19	False40
LP0026_22_L003	7.354207446424117	0memhg19	False40
LP0026_26_L004	6.065434379119594	0memhg19	False40
LP0026_38_L004	10.054970873170754	0memhg19	False40
LP0026_42_L004	6.432274879689511	0memhg19	False40
LP0027_26_L003	8.111194802086981	0memhg19	False40
LP0027_35_L003	6.002075839105348	0memhg19	False40
LP0027_39_L003	4.724970264210809	0memhg19	False40
LP0028_01_L004	13.461698509620605	0memhg19	False40
LP0029_02_L004	2.614171887922291	0memhg19	False40
LP0029_04_L003	16.552642066326175	0memhg19	False40
LP0029_05_L004	9.276527535917262	0memhg19	False40
LP0029_06_L003	11.698078637683023	0memhg19	False40
LP0030_03_L004	7.45387830191096	0memhg19	False40
LP0030_05_L004	6.491568822775051	0memhg19	False40
LP0020_01	1.121021494109526	0memhg19	FalseDI26830XA
LP0020_02	0.8368457500887896	0memhg19	FalseDI26830XA
LP0020_03	1.6631273670175326	0memhg19	FalseDI26830XA
LP0020_04	1.6343382688830215	0memhg19	FalseDI26830XA
LP0020_05	1.1469422142374572	0memhg19	FalseDI26830XA
LP0020_06	0.9476279969797236	0memhg19	FalseDI26830XA
LP0020_07	1.0882286045317708	0memhg19	FalseDI26830XA
LP0020_08	0.9634493319538966	0memhg19	FalseDI26830XA
LP0025_01_L004	1.2069334254902468	0memhg19	FalseDI26830XA
LP0025_02_L004	1.388119536009446	0memhg19	FalseDI26830XA
LP0025_03_L003	1.0245347737040087	0memhg19	FalseDI26830XA
LP0025_04_L004	0.5258264981449344	0memhg19	FalseDI26830XA
LP0025_05_L003	0.8665256703995493	0memhg19	FalseDI26830XA
LP0025_06_L003	4.90272332861669	0memhg19	FalseDI26830XA
LP0025_07_L004	3.8571579499167283	0memhg19	FalseDI26830XA
LP0025_08_L004	1.546783659155669	0memhg19	FalseDI26830XA
LP0025_10_L003	5.164104492728546	0memhg19	FalseDI26830XA
LP0025_11_L003	3.9111589464098597	0memhg19	FalseDI26830XA
LP0025_12_L003	3.792580902410129	0memhg19	FalseDI26830XA
LP0025_15_L003	17.052316212684755	0memhg19	FalseDI26830XA
LP0025_17_L003	6.654458617254875	0memhg19	FalseDI26830XA
LP0025_21_L004	4.141501449839751	0memhg19	FalseDI26830XA
LP0025_24_L003	11.929524444220863	0memhg19	FalseDI26830XA
LP0026_05_L003	3.094654844361519	0memhg19	FalseDI26830XA
LP0026_07_L003	3.5383272761760836	0memhg19	FalseDI26830XA
LP0026_08_L003	5.751217566062028	0memhg19	FalseDI26830XA
LP0026_22_L003	7.266482709409185	0memhg19	FalseDI26830XA
LP0026_26_L004	5.907840034709335	0memhg19	FalseDI26830XA
LP0026_38_L004	10.600538421078102	0memhg19	FalseDI26830XA
LP0026_42_L004	6.491297278573833	0memhg19	FalseDI26830XA
LP0027_26_L003	7.719209782580662	0memhg19	FalseDI26830XA
