sampleID	globlen_mean	ref_genome	settings
LP0020_01	169.42131619439394	0memhg19	False40
LP0020_02	172.87131850176308	0memhg19	False40
LP0020_03	173.00183825401513	0memhg19	False40
LP0020_04	171.0038085524657	0memhg19	False40
LP0020_05	169.3164737385624	0memhg19	False40
LP0020_06	167.6951766699358	0memhg19	False40
LP0020_07	167.08210966889456	0memhg19	False40
LP0020_08	169.1198320373095	0memhg19	False40
LP0025_01_L004	169.5912372171175	0memhg19	False40
LP0025_02_L004	175.37949959844659	0memhg19	False40
LP0025_03_L003	168.35018416893988	0memhg19	False40
LP0025_04_L004	170.34298803488667	0memhg19	False40
LP0025_05_L003	171.99550796799474	0memhg19	False40
LP0025_06_L003	168.23784969186656	0memhg19	False40
LP0025_07_L004	166.21309945694549	0memhg19	False40
LP0025_08_L004	170.09769950144218	0memhg19	False40
LP0025_10_L003	145.37714160425026	0memhg19	False40
LP0025_11_L003	165.94184391916338	0memhg19	False40
LP0025_12_L003	168.49516464054318	0memhg19	False40
LP0025_15_L003	164.97339220193678	0memhg19	False40
LP0025_17_L003	167.2472013167029	0memhg19	False40
LP0025_21_L004	168.8957107754171	0memhg19	False40
LP0025_24_L003	170.99210574375627	0memhg19	False40
LP0026_05_L003	169.12961777243223	0memhg19	False40
LP0026_07_L003	171.11194559190562	0memhg19	False40
LP0026_08_L003	156.15137596117145	0memhg19	False40
LP0026_22_L003	164.33445773799798	0memhg19	False40
LP0026_26_L004	161.44402136567464	0memhg19	False40
LP0026_38_L004	163.92768073884886	0memhg19	False40
LP0026_42_L004	164.69188025673589	0memhg19	False40
LP0027_26_L003	163.11439438633823	0memhg19	False40
LP0027_35_L003	164.80733474001406	0memhg19	False40
LP0027_39_L003	166.3931868389013	0memhg19	False40
LP0028_01_L004	164.0251971122694	0memhg19	False40
LP0029_02_L004	168.27728414844978	0memhg19	False40
LP0029_04_L003	169.3560188876218	0memhg19	False40
LP0029_05_L004	167.61655914338857	0memhg19	False40
LP0029_06_L003	165.83481960643653	0memhg19	False40
LP0030_03_L004	167.4051203939699	0memhg19	False40
LP0030_05_L004	168.67002828680359	0memhg19	False40
LP0020_01	169.56930844634007	0memhg19	FalseDI26830XA
LP0020_02	173.10518355417108	0memhg19	FalseDI26830XA
LP0020_03	173.15298008782472	0memhg19	FalseDI26830XA
LP0020_04	171.1876115362274	0memhg19	FalseDI26830XA
LP0020_05	169.44279064566925	0memhg19	FalseDI26830XA
LP0020_06	167.79973189979927	0memhg19	FalseDI26830XA
LP0020_07	167.17091308589877	0memhg19	FalseDI26830XA
LP0020_08	169.25573158059674	0memhg19	FalseDI26830XA
LP0025_01_L004	169.662778686684	0memhg19	FalseDI26830XA
LP0025_02_L004	175.49523510849488	0memhg19	FalseDI26830XA
LP0025_03_L003	168.4717514307717	0memhg19	FalseDI26830XA
LP0025_04_L004	170.41724239534145	0memhg19	FalseDI26830XA
LP0025_05_L003	172.12927991271349	0memhg19	FalseDI26830XA
LP0025_06_L003	168.34580024617233	0memhg19	FalseDI26830XA
LP0025_07_L004	166.27393094616193	0memhg19	FalseDI26830XA
LP0025_08_L004	170.19643025942653	0memhg19	FalseDI26830XA
LP0025_10_L003	145.26454777062463	0memhg19	FalseDI26830XA
LP0025_11_L003	165.98688361681604	0memhg19	FalseDI26830XA
LP0025_12_L003	168.55258034353346	0memhg19	FalseDI26830XA
LP0025_15_L003	165.00602980534578	0memhg19	FalseDI26830XA
LP0025_17_L003	167.32076696075984	0memhg19	FalseDI26830XA
LP0025_21_L004	168.94217799157823	0memhg19	FalseDI26830XA
LP0025_24_L003	171.07911217307284	0memhg19	FalseDI26830XA
LP0026_05_L003	169.2043305165284	0memhg19	FalseDI26830XA
LP0026_07_L003	171.18918129535788	0memhg19	FalseDI26830XA
LP0026_08_L003	156.14182893986796	0memhg19	FalseDI26830XA
LP0026_22_L003	164.3790234866812	0memhg19	FalseDI26830XA
LP0026_26_L004	161.4337846152275	0memhg19	FalseDI26830XA
LP0026_38_L004	164.01651075225885	0memhg19	FalseDI26830XA
LP0026_42_L004	164.76239393240726	0memhg19	FalseDI26830XA
LP0027_26_L003	163.19955621062982	0memhg19	FalseDI26830XA
LP0027_35_L003	164.9003598399688	0memhg19	FalseDI26830XA
LP0027_39_L003	166.47329408731522	0memhg19	FalseDI26830XA
LP0028_01_L004	164.05999803712808	0memhg19	FalseDI26830XA
LP0029_02_L004	168.36300893775112	0memhg19	FalseDI26830XA
LP0029_04_L003	169.45476903088095	0memhg19	FalseDI26830XA
LP0029_05_L004	167.6850525916755	0memhg19	FalseDI26830XA
LP0029_06_L003	165.90981725081664	0memhg19	FalseDI26830XA
