sampleID	dip_depth	ref_genome	settings
LP0020_05	0.4	0memhg19	True40
LP0026_26_L004	-1.25	0memhg19	True40
LP0025_15_L003	1.0	0memhg19	True40
LP0029_06_L003	0.05	0memhg19	True40
LP0025_24_L003	0.07	0memhg19	True40
LP0025_04_L004	0.1	0memhg19	True40
LP0026_07_L003	1.06	0memhg19	True40
LP0029_05_L004	-0.7	0memhg19	True40
LP0020_01	2.5	0memhg19	True40
LP0025_08_L004	0.7	0memhg19	True40
LP0020_04.sortByCoord	0.75	0memhg19	True40
LP0028_01_L004	0.79	0memhg19	True40
LP0025_11_L003	0.56	0memhg19	TrueDI26830XA
LP0025_06_L003	-0.09	0memhg19	TrueDI26830XA
LP0030_05_L004	0.59	0memhg19	TrueDI26830XA
LP0030_03_L004	-1.85	0memhg19	TrueDI26830XA
LP0020_03	-0.31	0memhg19	TrueDI26830XA
LP0020_06	0.01	0memhg19	TrueDI26830XA
LP0025_07_L004	-0.57	0memhg19	TrueDI26830XA
LP0025_12_L003	0.37	0memhg19	TrueDI26830XA
LP0025_17_L003	1.07	0memhg19	TrueDI26830XA
LP0026_22_L003	-1.34	0memhg19	TrueDI26830XA
LP0025_05_L003	-1.81	0memhg19	TrueDI26830XA
LP0027_39_L003	0.29	0memhg19	TrueDI26830XA
LP0025_03_L003	-0.74	0memhg19	TrueDI26830XA
LP0020_07	-0.42	0memhg19	TrueDI26830XA
LP0026_05_L003	0.37	0memhg19	TrueDI26830XA
LP0025_01_L004	-0.13	0memhg19	TrueDI26830XA
LP0025_21_L004	0.41	0memhg19	TrueDI26830XA
LP0027_26_L003	-1.5	0memhg19	TrueDI26830XA
LP0020_08	0.35	0memhg19	TrueDI26830XA
LP0027_35_L003	-1.18	0memhg19	TrueDI26830XA
LP0026_42_L004	-1.49	0memhg19	TrueDI26830XA
LP0026_38_L004	-1.18	0memhg19	TrueDI26830XA
LP0025_02_L004	-1.75	0memhg19	TrueDI26830XA
LP0026_08_L003	-0.51	0memhg19	TrueDI26830XA
LP0025_10_L003	-2.32	0memhg19	TrueDI26830XA
LP0029_02_L004	1.36	0memhg19	TrueDI26830XA
LP0020_02	-1.68	0memhg19	TrueDI26830XA
LP0029_04_L003	0.89	0memhg19	TrueDI26830XA
LP0020_05	0.62	0memhg19	TrueDI26830XA
LP0026_26_L004	-1.26	0memhg19	TrueDI26830XA
LP0025_15_L003	0.68	0memhg19	TrueDI26830XA
LP0029_06_L003	0.63	0memhg19	TrueDI26830XA
LP0025_24_L003	0.03	0memhg19	TrueDI26830XA
LP0025_04_L004	0.15	0memhg19	TrueDI26830XA
LP0026_07_L003	1.44	0memhg19	TrueDI26830XA
LP0029_05_L004	-0.45	0memhg19	TrueDI26830XA
LP0020_01	1.73	0memhg19	TrueDI26830XA
LP0025_08_L004	0.48	0memhg19	TrueDI26830XA
LP0020_04	1.09	0memhg19	TrueDI26830XA
LP0028_01_L004	0.79	0memhg19	TrueDI26830XA
LP0025_11_L003	0.27	0memhg19decoy	False40
LP0025_06_L003	-0.16	0memhg19decoy	False40
LP0030_05_L004	0.17	0memhg19decoy	False40
LP0030_03_L004	-1.77	0memhg19decoy	False40
LP0020_03	0.13	0memhg19decoy	False40
LP0020_06	0.36	0memhg19decoy	False40
LP0025_07_L004	-0.46	0memhg19decoy	False40
LP0025_12_L003	0.33	0memhg19decoy	False40
LP0025_17_L003	0.72	0memhg19decoy	False40
LP0026_22_L003	-1.23	0memhg19decoy	False40
LP0025_05_L003	-1.56	0memhg19decoy	False40
LP0027_39_L003	0.31	0memhg19decoy	False40
LP0025_03_L003	-0.94	0memhg19decoy	False40
LP0020_07	-0.16	0memhg19decoy	False40
LP0026_05_L003	0.5	0memhg19decoy	False40
LP0025_01_L004	-0.18	0memhg19decoy	False40
LP0025_21_L004	0.1	0memhg19decoy	False40
LP0027_26_L003	-1.35	0memhg19decoy	False40
LP0020_08	0.73	0memhg19decoy	False40
LP0027_35_L003	-1.05	0memhg19decoy	False40
LP0026_42_L004	-1.05	0memhg19decoy	False40
LP0026_38_L004	-1.06	0memhg19decoy	False40
LP0025_02_L004	-1.71	0memhg19decoy	False40
LP0026_08_L003	-0.42	0memhg19decoy	False40
LP0025_10_L003	-1.57	0memhg19decoy	False40
LP0029_02_L004	1.39	0memhg19decoy	False40
LP0020_02	-1.47	0memhg19decoy	False40
LP0029_04_L003	0.61	0memhg19decoy	False40
