sampleID,phenotype,tmad_vs_control,tmad_vs_none,ref_genome,settings
LP0020_03,healthy_control,0.003641203,0.006151542,30memhg19decoy,FalseDI26830XA
LP0020_03,healthy_control,0.003641203,0.006151542,0memhg19decoy,FalseDI26830XA
LP0020_03,healthy_control,0.004335813,0.009815966,30memhg19decoy,TrueDI1230XA
LP0020_03,healthy_control,0.004736875,0.011309635,30memhg19decoy,True40
LP0020_04,healthy_control,0.016794793,0.012074643,0memhg19decoy,False40
LP0020_04,healthy_control,0.016988125,0.009608649,0memhg19,FalseDI26830XA
LP0020_04,healthy_control,0.01470275,0.018966731,0memhg19,True40
LP0020_04,healthy_control,0.018192336,0.013416711,0memhg19,False40
LP0020_04,healthy_control,0.014158533,0.01130486,0memhg19decoy,True40
LP0020_04,healthy_control,0.01104792,0.0075404,0memhg19decoy,TrueDI1230XA
LP0020_04,healthy_control,0.016988125,0.008909029,0memhg19decoy,FalseDI1230XA
LP0020_04,healthy_control,0.016988125,0.009610467,0memhg19,FalseDI1230XA
LP0020_04,healthy_control,0.014010306,0.011917246,0memhg19,TrueDI26830XA
LP0020_04,healthy_control,0.015377411,0.009606832,30memhg19,FalseDI26830XA
LP0020_04,healthy_control,0.016947558,0.01749032,30memhg19,True40
LP0020_04,healthy_control,0.014664462,0.012001186,0memhg19,TrueDI1230XA
LP0020_04,healthy_control,0.011724709,0.007132722,30memhg19,TrueDI26830XA
LP0020_04,healthy_control,0.013410899,0.007830753,30memhg19decoy,False40
LP0020_04,healthy_control,0.014682668,0.009227726,30memhg19decoy,FalseDI1230XA
LP0020_04,healthy_control,0.011400663,0.008828496,30memhg19,TrueDI1230XA
LP0020_04,healthy_control,0.014300208,0.008817552,30memhg19decoy,True40
LP0020_04,healthy_control,0.011379787,0.008522973,30memhg19decoy,TrueDI1230XA
LP0020_04,healthy_control,0.014021625,0.006436176,30memhg19decoy,TrueDI26830XA
LP0020_04,healthy_control,0.012026809,0.008863971,0memhg19decoy,TrueDI26830XA
LP0020_04,healthy_control,0.016988125,0.008912436,0memhg19decoy,FalseDI26830XA
LP0020_04,healthy_control,0.012909168,0.008910732,30memhg19,FalseDI1230XA
LP0020_04,healthy_control,0.014682668,0.009926898,30memhg19decoy,FalseDI26830XA
LP0020_04,healthy_control,0.016118196,0.007219861,30memhg19,False40
LP0020_05,healthy_control,0.008420818,0.010810625,0memhg19decoy,True40
LP0020_05,healthy_control,0.006864236,0.00615784,0memhg19decoy,False40
LP0020_05,healthy_control,0.007428211,0.010649975,0memhg19,FalseDI1230XA
LP0020_05,healthy_control,0.008126698,0.007562716,0memhg19,FalseDI26830XA
LP0020_05,healthy_control,0.009230236,0.007721875,0memhg19,True40
LP0020_05,healthy_control,0.007721875,0.004633125,0memhg19,False40
LP0020_05,healthy_control,0.008421161,0.007721875,30memhg19decoy,True40
LP0020_05,healthy_control,0.009119418,0.006149026,30memhg19decoy,TrueDI1230XA
LP0020_05,healthy_control,0.009628676,0.007144611,30memhg19decoy,TrueDI26830XA
LP0020_05,healthy_control,0.009941981,0.011356029,30memhg19decoy,FalseDI26830XA
LP0020_05,healthy_control,0.008679425,0.006571018,30memhg19,False40
LP0020_05,healthy_control,0.008126698,0.011352815,30memhg19,FalseDI1230XA
LP0020_05,healthy_control,0.009227726,0.004345409,0memhg19decoy,TrueDI1230XA
LP0020_05,healthy_control,0.008825755,0.006861482,0memhg19decoy,FalseDI1230XA
LP0020_05,healthy_control,0.010810625,0.008262459,0memhg19,TrueDI1230XA
LP0020_05,healthy_control,0.009119875,0.004756406,0memhg19,TrueDI26830XA
LP0020_05,healthy_control,0.007975666,0.007721875,30memhg19decoy,False40
LP0020_05,healthy_control,0.009241551,0.011354422,30memhg19decoy,FalseDI1230XA
LP0020_05,healthy_control,0.0106247,0.007541885,0memhg19decoy,TrueDI26830XA
LP0020_05,healthy_control,0.009524127,0.009951609,0memhg19decoy,FalseDI26830XA
LP0020_05,healthy_control,0.009524127,0.006438574,30memhg19,TrueDI26830XA
LP0020_05,healthy_control,0.009524127,0.011354422,30memhg19,FalseDI26830XA
LP0020_05,healthy_control,0.01034932,0.007721875,30memhg19,True40
LP0020_05,healthy_control,0.008829182,0.007552289,30memhg19,TrueDI1230XA
LP0020_06,healthy_control,0.008248028,0.007841034,0memhg19,True40
LP0020_06,healthy_control,0.007136375,0.007721875,0memhg19,FalseDI26830XA
LP0020_06,healthy_control,0.005386335,0.00573632,30memhg19decoy,TrueDI26830XA
LP0020_06,healthy_control,0.006437775,0.010355158,0memhg19,False40
LP0020_06,healthy_control,0.00685598,0.005875058,0memhg19,FalseDI1230XA
LP0020_06,healthy_control,0.013899375,0.009917327,0memhg19decoy,True40
LP0020_06,healthy_control,0.007276151,0.013899375,0memhg19decoy,False40
LP0020_06,healthy_control,0.007558244,0.006032039,0memhg19decoy,FalseDI1230XA
LP0020_06,healthy_control,0.009228981,0.008254437,0memhg19,TrueDI1230XA
LP0020_06,healthy_control,0.008127839,0.009940608,0memhg19,TrueDI26830XA
LP0020_06,healthy_control,0.008179369,0.00825604,30memhg19decoy,TrueDI1230XA
LP0020_06,healthy_control,0.009120103,0.01163113,0memhg19decoy,TrueDI1230XA
LP0020_06,healthy_control,0.007830753,0.007846187,0memhg19decoy,TrueDI26830XA
LP0020_06,healthy_control,0.008127268,0.013436125,30memhg19,False40
LP0020_06,healthy_control,0.007843094,0.007721875,30memhg19,FalseDI1230XA
LP0020_06,healthy_control,0.011722543,0.008257644,30memhg19,TrueDI26830XA
LP0020_06,healthy_control,0.006571018,0.007721875,30memhg19,FalseDI26830XA
LP0020_06,healthy_control,0.007135461,0.007721875,0memhg19decoy,FalseDI26830XA
LP0020_06,healthy_control,0.010719803,0.008420704,30memhg19decoy,True40
LP0020_06,healthy_control,0.011761637,0.008420475,30memhg19,True40
LP0020_06,healthy_control,0.00981956,0.006729668,30memhg19,TrueDI1230XA
LP0020_06,healthy_control,0.007272252,0.005873338,30memhg19decoy,FalseDI1230XA
LP0020_06,healthy_control,0.008543525,0.007721875,30memhg19decoy,FalseDI26830XA
LP0020_06,healthy_control,0.007721875,0.013899375,30memhg19decoy,False40
LP0020_07,healthy_control,0.005748679,0.01140589,0memhg19,True40
LP0020_07,healthy_control,0.004757437,0.009925529,0memhg19,False40
LP0020_07,healthy_control,0.004633125,0.007692778,0memhg19decoy,False40
LP0020_07,healthy_control,0.004633125,0.004633125,0memhg19decoy,FalseDI1230XA
LP0020_07,healthy_control,0.004058611,0.008936347,0memhg19decoy,True40
LP0020_07,healthy_control,0.002943747,0.006436975,0memhg19decoy,TrueDI1230XA
LP0020_07,healthy_control,0.004633125,0.005447911,0memhg19,FalseDI1230XA
LP0020_07,healthy_control,0.004061364,0.004053113,0memhg19,TrueDI26830XA
LP0020_07,healthy_control,0.004633125,0.004633125,0memhg19,FalseDI26830XA
LP0020_07,healthy_control,0.007721875,0.006133962,0memhg19,TrueDI1230XA
LP0020_07,healthy_control,0.004633125,0.005447911,0memhg19decoy,FalseDI26830XA
LP0020_07,healthy_control,0.004633125,0.010990524,30memhg19,False40
LP0020_07,healthy_control,0.004633125,0.004633125,30memhg19,FalseDI1230XA
LP0020_07,healthy_control,0.004633125,0.004052197,0memhg19decoy,TrueDI26830XA
LP0020_07,healthy_control,0.005457066,0.006730639,30memhg19decoy,TrueDI26830XA
LP0020_07,healthy_control,0.004633125,0.009078851,30memhg19,True40
LP0020_07,healthy_control,0.004633125,0.007721875,30memhg19,TrueDI1230XA
LP0020_07,healthy_control,0.006160363,0.004633125,30memhg19,FalseDI26830XA
LP0020_07,healthy_control,0.004633125,0.012381026,30memhg19decoy,False40
LP0020_07,healthy_control,0.004059529,0.005447911,30memhg19decoy,FalseDI1230XA
