,genome,setting,clf_name,fold,accuracy,f1,auc
72,0memhg19,TrueDI26830XA,LR,2,1,1,1
73,0memhg19,TrueDI26830XA,LR,3,1,1,1
74,0memhg19,TrueDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
75,0memhg19,FalseDI1230XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
76,0memhg19,FalseDI1230XA,LR,1,0.42857142857142855,0.5,0.41666666666666663
77,0memhg19,FalseDI1230XA,LR,2,0.6666666666666666,0.6666666666666666,0.75
78,0memhg19,FalseDI1230XA,LR,3,1,1,1
79,0memhg19,FalseDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
80,0memhg19,True40,LR,0,0.7142857142857143,0.6666666666666666,0.75
81,0memhg19,True40,LR,1,0.7142857142857143,0.6666666666666666,0.75
82,0memhg19,True40,LR,2,0.5,0.4,0.625
83,0memhg19,True40,LR,3,1,1,1
84,0memhg19,True40,LR,4,0.6666666666666666,0.75,0.625
85,0memhg19,TrueDI1230XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
86,0memhg19,TrueDI1230XA,LR,1,0.5714285714285714,0.5714285714285715,0.5833333333333334
87,0memhg19,TrueDI1230XA,LR,2,0.5,0.4,0.625
88,0memhg19,TrueDI1230XA,LR,3,1,1,1
89,0memhg19,TrueDI1230XA,LR,4,0.6666666666666666,0.75,0.625
90,30memhg19,False40,LR,0,0.8571428571428571,0.8571428571428571,0.875
91,30memhg19,False40,LR,1,0.7142857142857143,0.6666666666666666,0.75
92,30memhg19,False40,LR,2,0.5,0.4,0.625
93,30memhg19,False40,LR,3,1,1,1
94,30memhg19,False40,LR,4,0.6666666666666666,0.75,0.625
95,30memhg19,FalseDI26830XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
96,30memhg19,FalseDI26830XA,LR,1,0.42857142857142855,0.5,0.41666666666666663
97,30memhg19,FalseDI26830XA,LR,2,0.8333333333333334,0.8571428571428571,0.875
98,30memhg19,FalseDI26830XA,LR,3,1,1,1
99,30memhg19,FalseDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
100,30memhg19,TrueDI26830XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
101,30memhg19,TrueDI26830XA,LR,1,0.42857142857142855,0.5,0.41666666666666663
102,30memhg19,TrueDI26830XA,LR,2,0.8333333333333334,0.8571428571428571,0.875
103,30memhg19,TrueDI26830XA,LR,3,1,1,1
104,30memhg19,TrueDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
105,30memhg19,FalseDI1230XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
106,30memhg19,FalseDI1230XA,LR,1,0.5714285714285714,0.5714285714285715,0.5833333333333334
107,30memhg19,FalseDI1230XA,LR,2,1,1,1
108,30memhg19,FalseDI1230XA,LR,3,1,1,1
109,30memhg19,FalseDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
110,30memhg19,True40,LR,0,0.8571428571428571,0.8571428571428571,0.875
111,30memhg19,True40,LR,1,0.7142857142857143,0.6666666666666666,0.75
112,30memhg19,True40,LR,2,0.5,0.4,0.625
113,30memhg19,True40,LR,3,1,1,1
114,30memhg19,True40,LR,4,0.8333333333333334,0.8571428571428571,0.875
115,30memhg19,TrueDI1230XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
116,30memhg19,TrueDI1230XA,LR,1,0.8571428571428571,0.8571428571428571,0.875
117,30memhg19,TrueDI1230XA,LR,2,1,1,1
118,30memhg19,TrueDI1230XA,LR,3,1,1,1
119,30memhg19,TrueDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
120,0memhg19decoy,False40,LR,0,0.7142857142857143,0.6666666666666666,0.75
121,0memhg19decoy,False40,LR,1,0.5714285714285714,0.6666666666666665,0.5416666666666667
122,0memhg19decoy,False40,LR,2,0.5,0.4,0.625
123,0memhg19decoy,False40,LR,3,1,1,1
124,0memhg19decoy,False40,LR,4,0.8333333333333334,0.8571428571428571,0.875
125,0memhg19decoy,FalseDI26830XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
126,0memhg19decoy,FalseDI26830XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
127,0memhg19decoy,FalseDI26830XA,LR,2,0.5,0.4,0.625
128,0memhg19decoy,FalseDI26830XA,LR,3,1,1,1
129,0memhg19decoy,FalseDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
130,0memhg19decoy,TrueDI26830XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
131,0memhg19decoy,TrueDI26830XA,LR,1,0.5714285714285714,0.5714285714285715,0.5833333333333334
132,0memhg19decoy,TrueDI26830XA,LR,2,0.5,0.4,0.625
133,0memhg19decoy,TrueDI26830XA,LR,3,1,1,1
134,0memhg19decoy,TrueDI26830XA,LR,4,0.6666666666666666,0.75,0.625
135,0memhg19decoy,FalseDI1230XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
136,0memhg19decoy,FalseDI1230XA,LR,1,0.5714285714285714,0.5714285714285715,0.5833333333333334
137,0memhg19decoy,FalseDI1230XA,LR,2,0.5,0.4,0.625
138,0memhg19decoy,FalseDI1230XA,LR,3,1,1,1
139,0memhg19decoy,FalseDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
140,0memhg19decoy,True40,LR,0,0.8571428571428571,0.8571428571428571,0.875
141,0memhg19decoy,True40,LR,1,0.7142857142857143,0.6666666666666666,0.75
142,0memhg19decoy,True40,LR,2,0.8333333333333334,0.8571428571428571,0.875
143,0memhg19decoy,True40,LR,3,1,1,1
144,0memhg19decoy,True40,LR,4,0.8333333333333334,0.8571428571428571,0.875
145,0memhg19decoy,TrueDI1230XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
146,0memhg19decoy,TrueDI1230XA,LR,1,0.42857142857142855,0.5,0.41666666666666663
147,0memhg19decoy,TrueDI1230XA,LR,2,0.5,0.4,0.625
148,0memhg19decoy,TrueDI1230XA,LR,3,1,1,1
149,0memhg19decoy,TrueDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
150,30memhg19decoy,False40,LR,0,0.8571428571428571,0.8571428571428571,0.875
151,30memhg19decoy,False40,LR,1,0.7142857142857143,0.6666666666666666,0.75
152,30memhg19decoy,False40,LR,2,0.5,0.4,0.625
153,30memhg19decoy,False40,LR,3,1,1,1
154,30memhg19decoy,False40,LR,4,0.8333333333333334,0.8571428571428571,0.875
155,30memhg19decoy,FalseDI26830XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
156,30memhg19decoy,FalseDI26830XA,LR,1,0.5714285714285714,0.5714285714285715,0.5833333333333334
157,30memhg19decoy,FalseDI26830XA,LR,2,0.6666666666666666,0.6666666666666666,0.75
158,30memhg19decoy,FalseDI26830XA,LR,3,1,1,1
159,30memhg19decoy,FalseDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
160,30memhg19decoy,TrueDI26830XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
161,30memhg19decoy,TrueDI26830XA,LR,1,0.8571428571428571,0.8571428571428571,0.875
162,30memhg19decoy,TrueDI26830XA,LR,2,0.5,0.4,0.625
163,30memhg19decoy,TrueDI26830XA,LR,3,1,1,1
164,30memhg19decoy,TrueDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
165,30memhg19decoy,FalseDI1230XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
166,30memhg19decoy,FalseDI1230XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
167,30memhg19decoy,FalseDI1230XA,LR,2,0.8333333333333334,0.8571428571428571,0.875
168,30memhg19decoy,FalseDI1230XA,LR,3,1,1,1
