sample	tumor_fraction
	sample_id
LP0029_02_L004	0.01191	0memhg19-TrueDI26830XA
LP0029_04_L003	0.01166	0memhg19-TrueDI26830XA
LP0029_05_L004	0	0memhg19-TrueDI26830XA
LP0029_06_L003	0.005661	0memhg19-TrueDI26830XA
LP0030_03_L004	0.008238	0memhg19-TrueDI26830XA
LP0030_05_L004	0.009569	0memhg19-TrueDI26830XA
LP0020_01	0.004331	0memhg19decoy-False40
LP0020_02	0.01212	0memhg19decoy-False40
LP0020_03	0.01239	0memhg19decoy-False40
LP0020_04	0.01584	0memhg19decoy-False40
LP0020_05	0.0163	0memhg19decoy-False40
LP0020_06	0.01023	0memhg19decoy-False40
LP0020_07	0.01538	0memhg19decoy-False40
LP0020_08	0.01825	0memhg19decoy-False40
LP0025_01_L004	0	0memhg19decoy-False40
LP0025_02_L004	0.01617	0memhg19decoy-False40
LP0025_03_L003	0.006972	0memhg19decoy-False40
LP0025_04_L004	0.002741	0memhg19decoy-False40
LP0025_05_L003	0.01153	0memhg19decoy-False40
LP0025_06_L003	0	0memhg19decoy-False40
LP0025_07_L004	0.01127	0memhg19decoy-False40
LP0025_08_L004	0.003049	0memhg19decoy-False40
LP0025_10_L003	0.008198	0memhg19decoy-False40
LP0025_11_L003	0.01297	0memhg19decoy-False40
LP0025_12_L003	0.01506	0memhg19decoy-False40
LP0025_15_L003	0.07368	0memhg19decoy-False40
LP0025_17_L003	0.03142	0memhg19decoy-False40
LP0025_21_L004	0.1095	0memhg19decoy-False40
LP0025_24_L003	0.0105	0memhg19decoy-False40
LP0026_05_L003	0.02653	0memhg19decoy-False40
LP0026_07_L003	0.02292	0memhg19decoy-False40
LP0026_08_L003	0.247	0memhg19decoy-False40
LP0026_22_L003	0.2247	0memhg19decoy-False40
LP0026_26_L004	0.4412	0memhg19decoy-False40
LP0026_38_L004	0.1535	0memhg19decoy-False40
LP0026_42_L004	0.1318	0memhg19decoy-False40
LP0027_26_L003	0.1164	0memhg19decoy-False40
LP0027_35_L003	0.168	0memhg19decoy-False40
LP0027_39_L003	0.1372	0memhg19decoy-False40
LP0028_01_L004	0.1027	0memhg19decoy-False40
LP0029_02_L004	0.009684	0memhg19decoy-False40
LP0029_04_L003	0.01381	0memhg19decoy-False40
