sample	tumor_fraction
	sample_id
LP0029_02_L004	0.01252	0memhg19-TrueDI26830XA
LP0029_04_L003	0.01869	0memhg19-TrueDI26830XA
LP0029_05_L004	0.01237	0memhg19-TrueDI26830XA
LP0029_06_L003	0	0memhg19-TrueDI26830XA
LP0030_03_L004	0.006299	0memhg19-TrueDI26830XA
LP0030_05_L004	0.008726	0memhg19-TrueDI26830XA
LP0020_01	0.01805	0memhg19decoy-False40
LP0020_02	0.02912	0memhg19decoy-False40
LP0020_03	0.03104	0memhg19decoy-False40
LP0020_04	0	0memhg19decoy-False40
LP0020_05	0.0214	0memhg19decoy-False40
LP0020_06	0.02593	0memhg19decoy-False40
LP0020_07	0	0memhg19decoy-False40
LP0020_08	0.02064	0memhg19decoy-False40
LP0025_01_L004	0.00307	0memhg19decoy-False40
LP0025_02_L004	0.0104	0memhg19decoy-False40
LP0025_03_L003	0.005867	0memhg19decoy-False40
LP0025_04_L004	0.004319	0memhg19decoy-False40
LP0025_05_L003	0.02132	0memhg19decoy-False40
LP0025_06_L003	0.01112	0memhg19decoy-False40
LP0025_07_L004	0.01137	0memhg19decoy-False40
LP0025_08_L004	0.003765	0memhg19decoy-False40
LP0025_10_L003	0.003252	0memhg19decoy-False40
LP0025_11_L003	0.02058	0memhg19decoy-False40
LP0025_12_L003	0.03146	0memhg19decoy-False40
LP0025_15_L003	0.1298	0memhg19decoy-False40
LP0025_17_L003	0.0679	0memhg19decoy-False40
LP0025_21_L004	0.2252	0memhg19decoy-False40
LP0025_24_L003	0.01378	0memhg19decoy-False40
LP0026_05_L003	0.02726	0memhg19decoy-False40
LP0026_07_L003	0.02623	0memhg19decoy-False40
LP0026_08_L003	0.3435	0memhg19decoy-False40
LP0026_22_L003	0.4438	0memhg19decoy-False40
LP0026_26_L004	0.645	0memhg19decoy-False40
LP0026_38_L004	0.2543	0memhg19decoy-False40
LP0026_42_L004	0.12	0memhg19decoy-False40
LP0027_26_L003	0.1235	0memhg19decoy-False40
LP0027_35_L003	0.2385	0memhg19decoy-False40
LP0027_39_L003	0.1617	0memhg19decoy-False40
LP0028_01_L004	0.2701	0memhg19decoy-False40
LP0029_02_L004	0.01096	0memhg19decoy-False40
LP0029_04_L003	0.02004	0memhg19decoy-False40
LP0029_05_L004	0.0117	0memhg19decoy-False40
LP0029_06_L003	0	0memhg19decoy-False40
LP0030_03_L004	0.007689	0memhg19decoy-False40
LP0030_05_L004	0.00723	0memhg19decoy-False40
LP0020_01	0.01514	0memhg19decoy-FalseDI26830XA
LP0020_02	0.02361	0memhg19decoy-FalseDI26830XA
LP0020_03	0.03629	0memhg19decoy-FalseDI26830XA
LP0020_04	0	0memhg19decoy-FalseDI26830XA
LP0020_05	0.01987	0memhg19decoy-FalseDI26830XA
LP0020_06	0.0263	0memhg19decoy-FalseDI26830XA
LP0020_07	0	0memhg19decoy-FalseDI26830XA
LP0020_08	0.02102	0memhg19decoy-FalseDI26830XA
LP0025_01_L004	0.002495	0memhg19decoy-FalseDI26830XA
LP0025_02_L004	0.01168	0memhg19decoy-FalseDI26830XA
LP0025_03_L003	0.004867	0memhg19decoy-FalseDI26830XA
LP0025_04_L004	0.004134	0memhg19decoy-FalseDI26830XA
LP0025_05_L003	0.01713	0memhg19decoy-FalseDI26830XA
LP0025_06_L003	0.01087	0memhg19decoy-FalseDI26830XA
LP0025_07_L004	0.007225	0memhg19decoy-FalseDI26830XA
LP0025_08_L004	0.003744	0memhg19decoy-FalseDI26830XA
LP0025_10_L003	0.002261	0memhg19decoy-FalseDI26830XA
