settings_verbose,genome,trimming,gc_bias,rule,s,csum,groups,coloring
Lenient,hg19decoy,Untrimmed,GC bias not corrected,bwaMem,32533.506980000002,34666.645762500004,Lenient_hg19decoy_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19decoy,Untrimmed,GC bias not corrected,filterBams,1934.76774,36601.4135025,Lenient_hg19decoy_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19decoy,Untrimmed,GC bias not corrected,sortByCoord,1164.2712375,37765.684740000004,Lenient_hg19decoy_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38,Trimmed,GC bias corrected,trim,3889.2228638888887,3889.2228638888887,Lenient_hg38_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Trimmed,GC bias corrected,bwaMem,35669.77202222222,39558.99488611111,Lenient_hg38_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Trimmed,GC bias corrected,filterBams,815.0464925,40374.04137861111,Lenient_hg38_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Trimmed,GC bias corrected,CorrectGCBias,5432.4463575,45806.48773611111,Lenient_hg38_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Trimmed,GC bias corrected,sortByCoord,608.9509475,46415.43868361111,Lenient_hg38_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Trimmed,GC bias not corrected,trim,3889.2228638888887,3889.2228638888887,Lenient_hg38_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38,Trimmed,GC bias not corrected,bwaMem,35669.77202222222,39558.99488611111,Lenient_hg38_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38,Trimmed,GC bias not corrected,filterBams,2544.400875,42103.39576111111,Lenient_hg38_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38,Trimmed,GC bias not corrected,sortByCoord,1005.81495,43109.21071111111,Lenient_hg38_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38,Untrimmed,GC bias corrected,trim,3779.514545,3779.514545,Lenient_hg38_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Untrimmed,GC bias corrected,bwaMem,36261.9610875,40041.4756325,Lenient_hg38_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Untrimmed,GC bias corrected,filterBams,1359.047435,41400.5230675,Lenient_hg38_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Untrimmed,GC bias corrected,CorrectGCBias,9121.1529075,50521.675975,Lenient_hg38_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Untrimmed,GC bias corrected,sortByCoord,584.55009,51106.226065,Lenient_hg38_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Untrimmed,GC bias not corrected,trim,3779.514545,3779.514545,Lenient_hg38_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38,Untrimmed,GC bias not corrected,bwaMem,36261.9610875,40041.4756325,Lenient_hg38_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38,Untrimmed,GC bias not corrected,filterBams,1248.78688,41290.2625125,Lenient_hg38_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38,Untrimmed,GC bias not corrected,sortByCoord,1096.2712525,42386.533765,Lenient_hg38_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38noalt,Trimmed,GC bias corrected,trim,909.8817290322581,909.8817290322581,Lenient_hg38noalt_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38noalt,Trimmed,GC bias corrected,bwaMem,31367.07518,32276.95690903226,Lenient_hg38noalt_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38noalt,Trimmed,GC bias corrected,filterBams,1679.0851375,33956.04204653226,Lenient_hg38noalt_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38noalt,Trimmed,GC bias corrected,CorrectGCBias,8389.35658,42345.39862653226,Lenient_hg38noalt_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38noalt,Trimmed,GC bias corrected,sortByCoord,862.14456,43207.54318653226,Lenient_hg38noalt_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38noalt,Trimmed,GC bias not corrected,trim,909.8817290322581,909.8817290322581,Lenient_hg38noalt_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38noalt,Trimmed,GC bias not corrected,bwaMem,31367.07518,32276.95690903226,Lenient_hg38noalt_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38noalt,Trimmed,GC bias not corrected,filterBams,2180.36363,34457.320539032255,Lenient_hg38noalt_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38noalt,Trimmed,GC bias not corrected,sortByCoord,932.421695,35389.74223403226,Lenient_hg38noalt_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38noalt,Untrimmed,GC bias corrected,trim,953.9491264705882,953.9491264705882,Lenient_hg38noalt_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38noalt,Untrimmed,GC bias corrected,bwaMem,33193.4461025,34147.395228970585,Lenient_hg38noalt_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38noalt,Untrimmed,GC bias corrected,filterBams,1976.2253475,36123.62057647059,Lenient_hg38noalt_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38noalt,Untrimmed,GC bias corrected,CorrectGCBias,10236.12687,46359.74744647059,Lenient_hg38noalt_Untrimmed_GC bias corrected,Lenient_GC bias corrected
