sampleID	tMAD_vs_control	ref_genome	settings
LP0025_07_L004	0.00842047536658039	0memhg19	True40
LP0025_08_L004	0.0100183556908396	0memhg19	True40
LP0029_02_L004	0.00742729840779427	0memhg19	True40
LP0029_04_L003	0.00772187500000001	0memhg19	True40
LP0029_05_L004	0.0082608537022721	0memhg19	True40
LP0029_06_L003	0.00754188466273236	0memhg19	True40
LP0030_03_L004	0.004633125	0memhg19	True40
LP0030_05_L004	0.0124470662057808	0memhg19	True40
LP0025_05_L003	0.0140133891689572	0memhg19	True40
LP0025_06_L003	0.00586474366760241	0memhg19	True40
LP0025_10_L003	0.0435727221037286	0memhg19	True40
LP0025_11_L003	0.0116772227341571	0memhg19	True40
LP0025_12_L003	0.0300149600871609	0memhg19	True40
LP0025_15_L003	0.0290503746650528	0memhg19	True40
LP0025_17_L003	0.0115104825615192	0memhg19	True40
LP0025_21_L004	0.0662179849363293	0memhg19	True40
LP0025_24_L003	0.00822885227522983	0memhg19	True40
LP0026_05_L003	0.0165093388331924	0memhg19	True40
LP0026_07_L003	0.00992552903153483	0memhg19	True40
LP0026_08_L003	0.167119808347593	0memhg19	True40
LP0026_22_L003	0.0215271455714354	0memhg19	True40
LP0026_26_L004	0.0668709266037938	0memhg19	True40
LP0026_38_L004	0.0717434816881467	0memhg19	True40
LP0026_42_L004	0.120705375938049	0memhg19	True40
LP0027_26_L003	0.054053125	0memhg19	True40
LP0027_35_L003	0.0479585503511096	0memhg19	True40
LP0027_39_L003	0.0301692092784832	0memhg19	True40
LP0028_01_L004	0.0487824370000339	0memhg19	True40
LP0020_01	0.00964511468249281	0memhg19	TrueDI26830XA
LP0020_02	0.00824162774685527	0memhg19	TrueDI26830XA
LP0020_03	0.00851728499575097	0memhg19	TrueDI26830XA
LP0020_04	0.0152591006225291	0memhg19	TrueDI26830XA
LP0020_05	0.0127411864573679	0memhg19	TrueDI26830XA
LP0020_06	0.00573426694634714	0memhg19	TrueDI26830XA
LP0020_07	0.0103746606051788	0memhg19	TrueDI26830XA
LP0020_08	0.0102260388023768	0memhg19	TrueDI26830XA
LP0025_01_L004	0.00543763950117152	0memhg19	TrueDI26830XA
LP0025_02_L004	0.020076875	0memhg19	TrueDI26830XA
LP0025_03_L003	0.0113016797666659	0memhg19	TrueDI26830XA
LP0025_04_L004	0.0105192459254083	0memhg19	TrueDI26830XA
LP0025_07_L004	0.0102187361545663	0memhg19	TrueDI26830XA
LP0025_08_L004	0.0152978318072379	0memhg19	TrueDI26830XA
LP0029_02_L004	0.00861001508663817	0memhg19	TrueDI26830XA
