sampleID	dip_depth	ref_genome	settings
LP0026_05_L003	0.71	0memhg19	TrueDI26830XA
LP0025_01_L004	0.72	0memhg19	TrueDI26830XA
LP0025_21_L004	0.12	0memhg19	TrueDI26830XA
LP0027_26_L003	0.77	0memhg19	TrueDI26830XA
LP0020_08	-0.28	0memhg19	TrueDI26830XA
LP0027_35_L003	0.84	0memhg19	TrueDI26830XA
LP0026_42_L004	1.19	0memhg19	TrueDI26830XA
LP0026_38_L004	1.83	0memhg19	TrueDI26830XA
LP0025_02_L004	-0.15	0memhg19	TrueDI26830XA
LP0026_08_L003	0.04	0memhg19	TrueDI26830XA
LP0025_10_L003	0.18	0memhg19	TrueDI26830XA
LP0029_02_L004	-0.99	0memhg19	TrueDI26830XA
LP0020_02	0.55	0memhg19	TrueDI26830XA
LP0029_04_L003	-1.79	0memhg19	TrueDI26830XA
LP0020_05	0.93	0memhg19	TrueDI26830XA
LP0026_26_L004	0.63	0memhg19	TrueDI26830XA
LP0025_15_L003	0.44	0memhg19	TrueDI26830XA
LP0029_06_L003	-1.85	0memhg19	TrueDI26830XA
LP0025_24_L003	0.53	0memhg19	TrueDI26830XA
LP0025_04_L004	1.01	0memhg19	TrueDI26830XA
LP0026_07_L003	0.29	0memhg19	TrueDI26830XA
LP0029_05_L004	-0.88	0memhg19	TrueDI26830XA
LP0020_01	-0.16	0memhg19	TrueDI26830XA
LP0025_08_L004	-0.04	0memhg19	TrueDI26830XA
LP0020_04	-0.85	0memhg19	TrueDI26830XA
LP0028_01_L004	-0.31	0memhg19	TrueDI26830XA
LP0025_11_L003	0.78	0memhg19decoy	False40
LP0025_06_L003	0.02	0memhg19decoy	False40
LP0030_05_L004	-0.02	0memhg19decoy	False40
LP0030_03_L004	-0.79	0memhg19decoy	False40
LP0020_03	-0.09	0memhg19decoy	False40
LP0020_06	2.08	0memhg19decoy	False40
LP0025_07_L004	0.79	0memhg19decoy	False40
LP0025_12_L003	-1.01	0memhg19decoy	False40
LP0025_17_L003	-1.49	0memhg19decoy	False40
LP0026_22_L003	0.38	0memhg19decoy	False40
LP0025_05_L003	-0.26	0memhg19decoy	False40
LP0027_39_L003	-0.28	0memhg19decoy	False40
LP0025_03_L003	0.64	0memhg19decoy	False40
LP0020_07	0.27	0memhg19decoy	False40
LP0026_05_L003	0.61	0memhg19decoy	False40
LP0025_01_L004	0.69	0memhg19decoy	False40
LP0025_21_L004	0.32	0memhg19decoy	False40
LP0027_26_L003	0.72	0memhg19decoy	False40
LP0020_08	-0.38	0memhg19decoy	False40
LP0027_35_L003	0.83	0memhg19decoy	False40
LP0026_42_L004	1.48	0memhg19decoy	False40
LP0026_38_L004	1.6	0memhg19decoy	False40
LP0025_02_L004	0.04	0memhg19decoy	False40
LP0026_08_L003	-0.12	0memhg19decoy	False40
LP0025_10_L003	-0.24	0memhg19decoy	False40
LP0029_02_L004	-1.31	0memhg19decoy	False40
LP0020_02	0.79	0memhg19decoy	False40
LP0029_04_L003	-2.21	0memhg19decoy	False40
LP0020_05	0.85	0memhg19decoy	False40
LP0026_26_L004	0.26	0memhg19decoy	False40
LP0025_15_L003	0.22	0memhg19decoy	False40
LP0029_06_L003	-1.52	0memhg19decoy	False40
LP0025_24_L003	0.56	0memhg19decoy	False40
LP0025_04_L004	1.06	0memhg19decoy	False40
LP0026_07_L003	0.31	0memhg19decoy	False40
LP0029_05_L004	-0.7	0memhg19decoy	False40
LP0020_01	-0.54	0memhg19decoy	False40
LP0025_08_L004	0.4	0memhg19decoy	False40
LP0020_04	-0.06	0memhg19decoy	False40
LP0028_01_L004	-0.69	0memhg19decoy	False40
LP0025_11_L003	0.96	0memhg19decoy	FalseDI26830XA
LP0025_06_L003	-0.23	0memhg19decoy	FalseDI26830XA
LP0030_05_L004	0.12	0memhg19decoy	FalseDI26830XA
LP0030_03_L004	-1.01	0memhg19decoy	FalseDI26830XA
LP0020_03	-0.05	0memhg19decoy	FalseDI26830XA
LP0020_06	2.06	0memhg19decoy	FalseDI26830XA
LP0025_07_L004	0.73	0memhg19decoy	FalseDI26830XA
LP0025_12_L003	-0.9	0memhg19decoy	FalseDI26830XA
LP0025_17_L003	-1.38	0memhg19decoy	FalseDI26830XA
LP0026_22_L003	0.21	0memhg19decoy	FalseDI26830XA
LP0025_05_L003	-0.33	0memhg19decoy	FalseDI26830XA
LP0027_39_L003	-0.26	0memhg19decoy	FalseDI26830XA
LP0025_03_L003	0.72	0memhg19decoy	FalseDI26830XA
LP0020_07	0.22	0memhg19decoy	FalseDI26830XA
LP0026_05_L003	0.57	0memhg19decoy	FalseDI26830XA
LP0025_01_L004	0.53	0memhg19decoy	FalseDI26830XA
LP0025_21_L004	0.28	0memhg19decoy	FalseDI26830XA
LP0027_26_L003	0.59	0memhg19decoy	FalseDI26830XA
LP0020_08	-0.33	0memhg19decoy	FalseDI26830XA
LP0027_35_L003	0.75	0memhg19decoy	FalseDI26830XA
LP0026_42_L004	1.42	0memhg19decoy	FalseDI26830XA
LP0026_38_L004	1.52	0memhg19decoy	FalseDI26830XA
LP0025_02_L004	-0.03	0memhg19decoy	FalseDI26830XA
LP0026_08_L003	-0.04	0memhg19decoy	FalseDI26830XA
LP0025_10_L003	-0.29	0memhg19decoy	FalseDI26830XA
LP0029_02_L004	-1.32	0memhg19decoy	FalseDI26830XA
LP0020_02	0.97	0memhg19decoy	FalseDI26830XA
LP0029_04_L003	-2.09	0memhg19decoy	FalseDI26830XA
LP0020_05	0.89	0memhg19decoy	FalseDI26830XA
LP0026_26_L004	0.26	0memhg19decoy	FalseDI26830XA
LP0025_15_L003	0.1	0memhg19decoy	FalseDI26830XA
LP0029_06_L003	-1.49	0memhg19decoy	FalseDI26830XA
LP0025_24_L003	0.6	0memhg19decoy	FalseDI26830XA
LP0025_04_L004	1.11	0memhg19decoy	FalseDI26830XA
LP0026_07_L003	0.38	0memhg19decoy	FalseDI26830XA
LP0029_05_L004	-0.8	0memhg19decoy	FalseDI26830XA
LP0020_01	-0.23	0memhg19decoy	FalseDI26830XA
LP0025_08_L004	0.32	0memhg19decoy	FalseDI26830XA
LP0020_04	-0.32	0memhg19decoy	FalseDI26830XA
LP0028_01_L004	-0.46	0memhg19decoy	FalseDI26830XA
LP0025_11_L003	1.45	0memhg19decoy	True40
LP0025_06_L003	0.16	0memhg19decoy	True40
LP0030_05_L004	0.18	0memhg19decoy	True40
LP0030_03_L004	-0.73	0memhg19decoy	True40
LP0020_03	0.59	0memhg19decoy	True40
LP0020_06	1.74	0memhg19decoy	True40
LP0025_07_L004	1.12	0memhg19decoy	True40
LP0025_12_L003	-0.95	0memhg19decoy	True40
LP0025_17_L003	-1.97	0memhg19decoy	True40
LP0026_22_L003	0.5	0memhg19decoy	True40
LP0025_05_L003	-0.54	0memhg19decoy	True40
LP0027_39_L003	-0.63	0memhg19decoy	True40
LP0025_03_L003	0.56	0memhg19decoy	True40
LP0020_07	0.25	0memhg19decoy	True40
LP0026_05_L003	1.17	0memhg19decoy	True40
LP0025_01_L004	0.89	0memhg19decoy	True40
LP0025_21_L004	-0.11	0memhg19decoy	True40
LP0027_26_L003	0.93	0memhg19decoy	True40
LP0020_08	-0.21	0memhg19decoy	True40
LP0027_35_L003	1.26	0memhg19decoy	True40
LP0026_42_L004	2.15	0memhg19decoy	True40
LP0026_38_L004	1.65	0memhg19decoy	True40
LP0025_02_L004	0.13	0memhg19decoy	True40
LP0026_08_L003	0.19	0memhg19decoy	True40
LP0025_10_L003	-0.45	0memhg19decoy	True40
LP0029_02_L004	-1.38	0memhg19decoy	True40
LP0020_02	0.58	0memhg19decoy	True40
LP0029_04_L003	-2.21	0memhg19decoy	True40
LP0020_05	0.3	0memhg19decoy	True40
LP0026_26_L004	0.65	0memhg19decoy	True40
LP0025_15_L003	-0.01	0memhg19decoy	True40
LP0029_06_L003	-1.89	0memhg19decoy	True40
LP0025_24_L003	0.49	0memhg19decoy	True40
LP0025_04_L004	1.07	0memhg19decoy	True40
LP0026_07_L003	0.37	0memhg19decoy	True40
LP0029_05_L004	-0.59	0memhg19decoy	True40
LP0020_01	-0.43	0memhg19decoy	True40
LP0025_08_L004	0.26	0memhg19decoy	True40
LP0020_04	-0.24	0memhg19decoy	True40
LP0028_01_L004	-0.61	0memhg19decoy	True40
LP0025_11_L003	0.94	0memhg19decoy	TrueDI26830XA
LP0025_06_L003	0.12	0memhg19decoy	TrueDI26830XA
LP0030_05_L004	0.21	0memhg19decoy	TrueDI26830XA
LP0030_03_L004	-0.44	0memhg19decoy	TrueDI26830XA
LP0020_03	-0.67	0memhg19decoy	TrueDI26830XA
LP0020_06	2.14	0memhg19decoy	TrueDI26830XA
LP0025_07_L004	1.02	0memhg19decoy	TrueDI26830XA
LP0025_12_L003	-0.52	0memhg19decoy	TrueDI26830XA
LP0025_17_L003	-1.48	0memhg19decoy	TrueDI26830XA
LP0026_22_L003	0.31	0memhg19decoy	TrueDI26830XA
LP0025_05_L003	-0.18	0memhg19decoy	TrueDI26830XA
LP0027_39_L003	-0.62	0memhg19decoy	TrueDI26830XA
LP0025_03_L003	0.97	0memhg19decoy	TrueDI26830XA
LP0020_07	0.22	0memhg19decoy	TrueDI26830XA
LP0026_05_L003	0.73	0memhg19decoy	TrueDI26830XA
LP0025_01_L004	0.68	0memhg19decoy	TrueDI26830XA
LP0025_21_L004	0.13	0memhg19decoy	TrueDI26830XA
LP0027_26_L003	0.76	0memhg19decoy	TrueDI26830XA
LP0020_08	-0.06	0memhg19decoy	TrueDI26830XA
LP0027_35_L003	1.13	0memhg19decoy	TrueDI26830XA
LP0026_42_L004	1.45	0memhg19decoy	TrueDI26830XA
LP0026_38_L004	1.72	0memhg19decoy	TrueDI26830XA
LP0025_02_L004	-0.04	0memhg19decoy	TrueDI26830XA
LP0026_08_L003	-0.21	0memhg19decoy	TrueDI26830XA
LP0025_10_L003	-0.15	0memhg19decoy	TrueDI26830XA
LP0029_02_L004	-1.09	0memhg19decoy	TrueDI26830XA
LP0020_02	0.48	0memhg19decoy	TrueDI26830XA
LP0029_04_L003	-2.09	0memhg19decoy	TrueDI26830XA
LP0020_05	0.45	0memhg19decoy	TrueDI26830XA
LP0026_26_L004	0.22	0memhg19decoy	TrueDI26830XA
LP0025_15_L003	0.04	0memhg19decoy	TrueDI26830XA
LP0029_06_L003	-1.44	0memhg19decoy	TrueDI26830XA
LP0025_24_L003	0.46	0memhg19decoy	TrueDI26830XA
LP0025_04_L004	1.27	0memhg19decoy	TrueDI26830XA
LP0026_07_L003	0.14	0memhg19decoy	TrueDI26830XA
LP0029_05_L004	-1.0	0memhg19decoy	TrueDI26830XA
LP0020_01	-0.37	0memhg19decoy	TrueDI26830XA
LP0025_08_L004	0.33	0memhg19decoy	TrueDI26830XA
LP0020_04	-0.59	0memhg19decoy	TrueDI26830XA
LP0028_01_L004	-0.36	0memhg19decoy	TrueDI26830XA
LP0025_11_L003	1.06	0memhg38	False40
LP0025_06_L003	-0.15	0memhg38	False40
LP0030_05_L004	-0.01	0memhg38	False40
LP0030_03_L004	-0.79	0memhg38	False40
LP0020_03	-0.25	0memhg38	False40
LP0020_06	1.71	0memhg38	False40
LP0025_07_L004	1.0	0memhg38	False40
LP0025_12_L003	-1.24	0memhg38	False40
LP0025_17_L003	-1.49	0memhg38	False40
LP0026_22_L003	0.31	0memhg38	False40
LP0025_05_L003	-0.41	0memhg38	False40
LP0027_39_L003	-0.11	0memhg38	False40
LP0025_03_L003	0.96	0memhg38	False40
LP0020_07	0.12	0memhg38	False40
LP0026_05_L003	0.61	0memhg38	False40
LP0025_01_L004	0.45	0memhg38	False40
LP0025_21_L004	0.04	0memhg38	False40
LP0027_26_L003	0.37	0memhg38	False40
LP0020_08	-0.43	0memhg38	False40
LP0027_35_L003	0.45	0memhg38	False40
LP0026_42_L004	1.42	0memhg38	False40
LP0026_38_L004	1.62	0memhg38	False40
LP0025_02_L004	-0.08	0memhg38	False40
LP0026_08_L003	-0.05	0memhg38	False40
LP0025_10_L003	-0.6	0memhg38	False40
LP0029_02_L004	-1.23	0memhg38	False40
LP0020_02	0.84	0memhg38	False40
LP0029_04_L003	-2.2	0memhg38	False40
LP0020_05	1.15	0memhg38	False40
LP0026_26_L004	0.04	0memhg38	False40
LP0025_15_L003	-0.33	0memhg38	False40
LP0029_06_L003	-1.69	0memhg38	False40
LP0025_24_L003	0.23	0memhg38	False40
LP0025_04_L004	0.85	0memhg38	False40
LP0026_07_L003	0.19	0memhg38	False40
LP0029_05_L004	-0.77	0memhg38	False40
LP0020_01	-0.38	0memhg38	False40
LP0025_08_L004	0.57	0memhg38	False40
LP0020_04	0.15	0memhg38	False40
LP0028_01_L004	-0.89	0memhg38	False40
LP0025_11_L003	1.04	0memhg38	FalseDI26830XA
LP0025_06_L003	-0.21	0memhg38	FalseDI26830XA
LP0030_05_L004	-0.03	0memhg38	FalseDI26830XA
LP0030_03_L004	-0.96	0memhg38	FalseDI26830XA
LP0020_03	-0.13	0memhg38	FalseDI26830XA
LP0020_06	1.97	0memhg38	FalseDI26830XA
LP0025_07_L004	0.97	0memhg38	FalseDI26830XA
LP0025_12_L003	-1.1	0memhg38	FalseDI26830XA
LP0025_17_L003	-1.41	0memhg38	FalseDI26830XA
LP0026_22_L003	0.23	0memhg38	FalseDI26830XA
LP0025_05_L003	-0.51	0memhg38	FalseDI26830XA
LP0027_39_L003	-0.4	0memhg38	FalseDI26830XA
LP0025_03_L003	1.05	0memhg38	FalseDI26830XA
LP0020_07	0.07	0memhg38	FalseDI26830XA
LP0026_05_L003	0.53	0memhg38	FalseDI26830XA
LP0025_01_L004	0.41	0memhg38	FalseDI26830XA
LP0025_21_L004	0.08	0memhg38	FalseDI26830XA
LP0027_26_L003	0.32	0memhg38	FalseDI26830XA
LP0020_08	-0.31	0memhg38	FalseDI26830XA
LP0027_35_L003	0.48	0memhg38	FalseDI26830XA
LP0026_42_L004	1.46	0memhg38	FalseDI26830XA
LP0026_38_L004	1.56	0memhg38	FalseDI26830XA
LP0025_02_L004	-0.04	0memhg38	FalseDI26830XA
